item,views,likes,ctr
0,778,112,0.143958867
1,777,111,0.142857149
2,777,111,0.142857149
3,778,111,0.142673522
4,777,111,0.142857149
5,777,111,0.142857149
6,778,111,0.142673522
7,778,111,0.142673522
8,777,111,0.142857149
9,777,111,0.142857149
10,778,111,0.142673522
11,777,111,0.142857149
12,777,111,0.142857149
13,778,111,0.142673522
14,778,111,0.142673522
15,777,111,0.142857149
16,777,111,0.142857149
17,778,111,0.142673522
18,777,111,0.142857149
19,777,111,0.142857149
20,778,111,0.142673522
21,778,111,0.142673522
22,777,111,0.142857149
23,777,111,0.142857149
24,778,111,0.142673522
25,777,111,0.142857149
26,777,111,0.142857149
27,778,112,0.143958867
28,778,111,0.142673522
29,777,111,0.142857149
30,777,111,0.142857149
31,778,111,0.142673522
32,777,111,0.142857149
33,777,111,0.142857149
34,778,111,0.142673522
35,778,111,0.142673522
36,777,111,0.142857149
37,777,111,0.142857149
38,778,112,0.143958867
39,777,111,0.142857149
40,777,111,0.142857149
41,778,111,0.142673522
42,778,111,0.142673522
43,777,111,0.142857149
44,777,111,0.142857149
45,778,111,0.142673522
46,777,111,0.142857149
47,777,111,0.142857149
48,778,111,0.142673522
49,778,112,0.143958867
50,777,111,0.142857149
51,777,111,0.142857149
52,778,111,0.142673522
53,777,111,0.142857149
54,777,111,0.142857149
55,778,111,0.142673522
56,778,111,0.142673522
57,777,111,0.142857149
58,777,111,0.142857149
59,778,111,0.142673522
60,777,111,0.142857149
61,777,111,0.142857149
62,778,111,0.142673522
63,778,111,0.142673522
64,777,111,0.142857149
65,777,111,0.142857149
66,778,111,0.142673522
67,777,111,0.142857149
68,777,111,0.142857149
69,778,111,0.142673522
70,778,111,0.142673522
71,777,111,0.142857149
72,777,111,0.142857149
73,778,111,0.142673522
74,777,111,0.142857149
75,777,111,0.142857149
76,778,112,0.143958867
77,778,111,0.142673522
78,777,111,0.142857149
79,777,111,0.142857149
80,778,111,0.142673522
81,777,111,0.142857149
82,777,111,0.142857149
83,778,111,0.142673522
84,778,111,0.142673522
85,777,111,0.142857149
86,777,111,0.142857149
87,778,112,0.143958867
88,777,111,0.142857149
89,777,111,0.142857149
90,778,111,0.142673522
91,778,111,0.142673522
92,777,111,0.142857149
93,777,111,0.142857149
94,778,111,0.142673522
95,777,111,0.142857149
96,777,111,0.142857149
97,778,111,0.142673522
98,778,112,0.143958867
99,777,111,0.142857149
100,777,111,0.142857149
101,778,111,0.142673522
102,777,111,0.142857149
103,777,111,0.142857149
104,778,111,0.142673522
105,778,111,0.142673522
106,777,111,0.142857149
107,777,111,0.142857149
108,778,111,0.142673522
109,777,111,0.142857149
110,777,111,0.142857149
111,777,111,0.142857149
112,778,111,0.142673522
113,777,111,0.142857149
114,777,111,0.142857149
115,778,111,0.142673522
116,777,111,0.142857149
117,777,111,0.142857149
118,777,111,0.142857149
119,778,111,0.142673522
120,777,111,0.142857149
121,777,111,0.142857149
122,778,111,0.142673522
123,777,111,0.142857149
124,777,111,0.142857149
125,777,111,0.142857149
126,778,111,0.142673522
127,777,111,0.142857149
128,777,111,0.142857149
129,778,111,0.142673522
130,777,111,0.142857149
131,777,111,0.142857149
132,777,111,0.142857149
133,778,111,0.142673522
134,777,111,0.142857149
135,777,111,0.142857149
136,778,112,0.143958867
137,777,111,0.142857149
138,777,111,0.142857149
139,777,111,0.142857149
140,778,111,0.142673522
141,777,111,0.142857149
142,777,111,0.142857149
143,778,111,0.142673522
144,777,111,0.142857149
145,777,111,0.142857149
146,777,111,0.142857149
147,778,112,0.143958867
148,777,111,0.142857149
149,777,111,0.142857149
150,778,111,0.142673522
151,777,111,0.142857149
152,777,111,0.142857149
153,777,111,0.142857149
154,778,111,0.142673522
155,777,111,0.142857149
156,777,111,0.142857149
157,778,111,0.142673522
158,777,111,0.142857149
159,777,111,0.142857149
160,777,111,0.142857149
161,778,111,0.142673522
162,777,111,0.142857149
163,777,111,0.142857149
164,778,111,0.142673522
165,777,111,0.142857149
166,777,111,0.142857149
167,777,111,0.142857149
168,778,111,0.142673522
169,777,111,0.142857149
170,777,111,0.142857149
171,778,111,0.142673522
172,777,111,0.142857149
173,777,111,0.142857149
174,777,111,0.142857149
175,778,111,0.142673522
176,777,111,0.142857149
177,777,111,0.142857149
178,778,111,0.142673522
179,777,111,0.142857149
180,777,111,0.142857149
181,777,111,0.142857149
182,778,111,0.142673522
183,777,111,0.142857149
184,777,111,0.142857149
185,778,112,0.143958867
186,777,111,0.142857149
187,777,111,0.142857149
188,777,111,0.142857149
189,778,111,0.142673522
190,777,111,0.142857149
191,777,111,0.142857149
192,778,111,0.142673522
193,777,111,0.142857149
194,777,111,0.142857149
195,777,111,0.142857149
196,778,112,0.143958867
197,777,111,0.142857149
198,777,111,0.142857149
199,778,111,0.142673522
200,777,111,0.142857149
201,777,111,0.142857149
202,777,111,0.142857149
203,778,111,0.142673522
204,777,111,0.142857149
205,777,111,0.142857149
206,778,111,0.142673522
207,777,111,0.142857149
208,777,111,0.142857149
209,777,111,0.142857149
210,778,111,0.142673522
211,777,111,0.142857149
212,777,111,0.142857149
213,778,111,0.142673522
214,777,111,0.142857149
215,777,111,0.142857149
216,777,111,0.142857149
217,778,111,0.142673522
218,777,111,0.142857149
219,777,111,0.142857149
220,778,111,0.142673522
221,777,111,0.142857149
222,777,111,0.142857149
223,777,111,0.142857149
224,778,111,0.142673522
225,777,111,0.142857149
226,777,111,0.142857149
227,778,111,0.142673522
228,777,111,0.142857149
229,777,111,0.142857149
