item,views,likes,ctr
0,19008,2685,0.141256317
1,9514,1352,0.142106369
2,6449,942,0.146069154
3,4742,698,0.14719528
4,3746,531,0.1417512
5,3143,450,0.143175304
6,2688,347,0.129092261
7,2417,370,0.153082326
8,2117,279,0.131790265
9,1863,277,0.148684919
10,1724,245,0.142111376
11,1555,237,0.15241158
12,1413,205,0.145081386
13,1312,206,0.157012194
14,1316,211,0.160334349
15,1241,182,0.146655917
16,1169,159,0.136013687
17,1026,150,0.146198824
18,1002,140,0.139720559
19,904,106,0.117256634
20,971,141,0.145211115
21,838,114,0.136038184
22,852,118,0.138497651
23,740,98,0.132432431
24,767,111,0.14471969
25,745,100,0.134228185
26,672,104,0.15476191
27,687,114,0.165938869
28,678,91,0.13421829
29,618,100,0.161812291
30,615,101,0.16422765
31,550,79,0.143636361
32,552,92,0.166666672
33,591,77,0.130287647
34,571,90,0.15761821
35,544,77,0.141544119
36,537,71,0.132216021
37,493,63,0.12778905
38,480,73,0.152083337
39,454,61,0.134361237
40,484,68,0.140495867
41,457,67,0.146608308
42,447,77,0.17225951
43,443,55,0.124153502
44,421,71,0.168646082
45,423,52,0.122931443
46,411,47,0.114355229
47,401,59,0.147132173
48,369,53,0.143631443
49,379,50,0.131926119
50,362,50,0.138121545
51,389,60,0.154241651
52,370,49,0.132432431
53,390,70,0.179487184
54,355,53,0.149295777
55,379,42,0.110817939
56,319,48,0.150470212
57,313,37,0.11821086
58,352,49,0.139204547
59,315,38,0.120634921
60,307,42,0.136807814
61,308,45,0.146103889
62,292,46,0.157534242
63,289,40,0.138408303
64,308,40,0.129870132
65,297,30,0.101010099
66,296,39,0.131756753
67,256,33,0.12890625
68,292,45,0.154109582
69,275,45,0.163636357
70,276,32,0.115942031
71,273,35,0.128205135
72,252,32,0.126984134
73,198,24,0.121212125
74,242,37,0.15289256
75,235,43,0.182978719
76,232,25,0.107758619
77,250,34,0.136000007
78,249,46,0.184738949
79,227,29,0.127753302
80,220,30,0.13636364
81,214,37,0.17289719
82,229,38,0.165938869
83,215,32,0.148837209
84,218,38,0.174311921
85,254,36,0.14173229
86,200,27,0.135000005
87,201,22,0.109452739
88,187,22,0.117647059
89,201,17,0.0845771134
90,200,31,0.155000001
91,219,47,0.214611873
92,221,27,0.122171946
93,208,34,0.163461536
94,213,34,0.159624413
95,204,24,0.117647059
96,191,42,0.219895288
97,185,30,0.162162155
98,177,26,0.146892652
99,152,18,0.118421055
100,181,22,0.121546961
101,173,27,0.156069368
102,192,33,0.171875
103,182,25,0.137362644
104,164,26,0.158536583
105,172,14,0.0813953504
106,166,18,0.108433738
107,183,36,0.196721315
108,195,24,0.123076923
109,162,19,0.117283948
110,167,26,0.155688629
111,174,20,0.114942528
112,192,35,0.182291672
113,150,20,0.13333334
114,139,15,0.107913665
115,150,25,0.166666672
116,171,30,0.175438598
